,Ground Truth,Transcription,WER,CER,PER
112,came to get a tan,i miss you get a night,0.8,0.7058823529411765,0.47058823529411764
113,they were cut loose,then we can lose,1.0,0.3157894736842105,0.42857142857142855
114,then why go back now,then why go back now,0.0,0.0,0.0
115,did you see that woman,did you see the woman,0.2,0.09090909090909091,0.1
116,find out who they are,but you think,1.0,0.7142857142857143,0.7058823529411765
117,because there was no way to win,but what do we do,1.0,0.6451612903225806,0.6666666666666666
118,can i have another one,can i have another one,0.0,0.0,0.0
119,i never heard of it,i never heard of it,0.0,0.0,0.0
120,i bet you did,i bet you did,0.0,0.0,0.0
121,i was only going one way,it was only going one way,0.16666666666666666,0.041666666666666664,0.08695652173913043
122,you should know something,you should know something,0.0,0.0,0.0
123,i think you found something,i think you found something,0.0,0.0,0.0
124,is that all you want,is that all you want,0.0,0.0,0.0
125,i was trying to find the right time,so what do you find the right time,0.5,0.34285714285714286,0.3225806451612903
126,next month is june,stay for the town,1.0,0.7777777777777778,0.6666666666666666
127,until we find something,now we find something,0.25,0.17391304347826086,0.19047619047619047
128,how about his job,how about his job,0.0,0.0,0.0
129,a matter of hours now,i better of our name,0.8,0.38095238095238093,0.35294117647058826
130,look answer my question,look answer my question,0.0,0.0,0.0
131,you know it is,you know it is,0.0,0.0,0.0
132,i thought i saw,i thought i saw,0.0,0.0,0.0
133,i have been waiting for this ever since,i have a man for this ever since,0.25,0.23076923076923078,0.24242424242424243
134,do you know that house,do you know that house,0.0,0.0,0.0
135,i thought everything was working out fine,i thought it was working out fine,0.14285714285714285,0.21951219512195122,0.1935483870967742
136,who told you about her,who told you about here,0.2,0.045454545454545456,0.10526315789473684
137,because it was a lie,because he was a lie,0.2,0.1,0.1111111111111111
138,when did you last see him,when did you last see him,0.0,0.0,0.0
139,maybe i can help,maybe i can help,0.0,0.0,0.0
140,how did they find out,how did they find out,0.0,0.0,0.0
141,where does he hang out,what does it out,0.6,0.45454545454545453,0.4444444444444444
142,how is your cold,your old,0.75,0.5,0.4666666666666667
143,do you want to get some coffee,do you want to get some coffee,0.0,0.0,0.0
144,what is it all about,what is it all about,0.0,0.0,0.0
145,you must have a girlfriend,you must have a girlfriend,0.0,0.0,0.0
146,how do you get out of the house,how do you get out of the house,0.0,0.0,0.0
147,why would they come to me,why would they have to be,0.3333333333333333,0.16,0.2
148,better get home before it is,may i come for it is,0.6666666666666666,0.4642857142857143,0.44
149,you got your wish,you get your wish,0.25,0.058823529411764705,0.06666666666666667
150,then what is it,then what is it,0.0,0.0,0.0
151,you look better than ever,you like my hair,0.8,0.56,0.55
152,will i like it,but i like it,0.25,0.2857142857142857,0.23076923076923078
153,you look a little tired,you look a little tired,0.0,0.0,0.0
154,where was the last place you left him,what was it that made you love him,0.625,0.40540540540540543,0.36363636363636365
155,then i have no idea,then i have no idea,0.0,0.0,0.0
156,not so bad yourself,not so bad yourself,0.0,0.0,0.0
157,why would he pick this one,why would he pick this one,0.0,0.0,0.0
158,what time was it,i miss it,0.75,0.625,0.6
159,what do you say to him,what do you say to him,0.0,0.0,0.0
160,sure count me in,she got me in,0.5,0.3125,0.3333333333333333
161,is there something bad here,in the tear out here,0.8,0.5185185185185185,0.5454545454545454
162,goodbye thanks for the lift,you may not for the left,0.8,0.4444444444444444,0.4583333333333333
163,i would like to watch television,i would like to watch television,0.0,0.0,0.0
164,will she like it,will she like it,0.0,0.0,0.0
165,you told them that,you should them that,0.25,0.16666666666666666,0.1875
166,you think he saw us,you think it is,0.6,0.3684210526315789,0.4117647058823529
167,but you will always be here,but you were coming back here,0.5,0.4444444444444444,0.375
168,maybe a few times i have,but you like him,1.0,0.7083333333333334,0.5909090909090909
169,right you have a boat,what you have a boat,0.2,0.19047619047619047,0.11764705882352941
170,i thought you already left,i thought you already help,0.2,0.11538461538461539,0.14285714285714285
171,what did you do to him,what did you do to him,0.0,0.0,0.0
172,if you want to,if you want to,0.0,0.0,0.0
173,all i told them was the truth,can i do that was the truth,0.42857142857142855,0.27586206896551724,0.34615384615384615
174,what about that apartment,what about that apartment,0.0,0.0,0.0
175,you want to leave,you want to live,0.25,0.11764705882352941,0.06666666666666667
176,what do you get if you finish,why do you get if you finish,0.14285714285714285,0.06896551724137931,0.07692307692307693
177,you would have looked better,you would have looked better,0.0,0.0,0.0
178,your hair looks the same,your hair looks the same,0.0,0.0,0.0
179,how long have you been living here,how long have you been up here,0.14285714285714285,0.17647058823529413,0.17857142857142858
180,three minutes to go,three more to go,0.25,0.2631578947368421,0.29411764705882354
181,take at look at it,i can do,1.0,0.8333333333333334,0.7058823529411765
182,you want to bring it down,you want to be in town,0.5,0.24,0.21739130434782608
183,of him i think,of him i think,0.0,0.0,0.0
184,what if he wants to get out,what if he wants to get out,0.0,0.0,0.0
185,glad i could be of some help,that could be up,0.7142857142857143,0.5714285714285714,0.5384615384615384
186,could we try it now,could we try it now,0.0,0.0,0.0
187,how can i be sure,how can i make your,0.4,0.35294117647058826,0.3125
188,give me your phone,give me your phone,0.0,0.0,0.0
189,i heard you were looking for me,i heard you were looking for me,0.0,0.0,0.0
190,i had a good night,i had a good night,0.0,0.0,0.0
191,i already told him i was home,i am told him i was home,0.14285714285714285,0.20689655172413793,0.21428571428571427
192,we will be fine,we will be fine,0.0,0.0,0.0
193,how far from here,how far from here,0.0,0.0,0.0
194,no thanks you go on,no thank you go on,0.2,0.05263157894736842,0.05555555555555555
195,i can back it up,i can back it up,0.0,0.0,0.0
196,would you like to see the rest,would you like to see the rest,0.0,0.0,0.0
197,do you want me to draw a picture,do you want me to take a better,0.25,0.28125,0.2413793103448276
198,what are you getting at,why are you getting at,0.2,0.08695652173913043,0.10526315789473684
199,do you have enough,do you have enough,0.0,0.0,0.0
200,i can use them,i can see them,0.25,0.14285714285714285,0.21428571428571427
201,what do you want from us,what do you want for what,0.3333333333333333,0.25,0.21739130434782608
202,i think i need a little air,i think i need a little air,0.0,0.0,0.0
203,how do you remember this stuff,do you remember this time,0.3333333333333333,0.26666666666666666,0.23076923076923078
204,of course it does,of course it does,0.0,0.0,0.0
205,what kind of deal,what kind of deal,0.0,0.0,0.0
206,what kind of man are you,what kind of man are you,0.0,0.0,0.0
207,what happened to the baby,what happened to the baby,0.0,0.0,0.0
208,will it be fun,will it be fun,0.0,0.0,0.0
209,maybe we lost them,maybe we that name,0.5,0.3888888888888889,0.29411764705882354
210,no i found it,no i found it,0.0,0.0,0.0
211,so what do you want,so what do you want,0.0,0.0,0.0
212,then they can watch,that thought it was,1.0,0.6842105263157895,0.6
213,then how did he know your name,then how did he know your name,0.0,0.0,0.0
214,good for you baby,good for you baby,0.0,0.0,0.0
215,we have to keep moving,we have to get moving,0.2,0.13636363636363635,0.15
216,you like the car,well that the car,0.5,0.5,0.42857142857142855
217,i have a rough idea,i have a problem,0.4,0.42105263157894735,0.47058823529411764
218,how much time do we have,how much time do we have,0.0,0.0,0.0
219,we on for tomorrow night,we are my night,0.6,0.5416666666666666,0.42857142857142855
220,there is a way,this is a week,0.5,0.42857142857142855,0.3333333333333333
221,you were looking for us,you were made for us,0.2,0.30434782608695654,0.2631578947368421
222,you spend the afternoon in bed,you bet the after a man,0.6666666666666666,0.43333333333333335,0.4444444444444444
223,i never get my hair done,i never have i done,0.5,0.375,0.36363636363636365
224,so how did they get here,so how did they get here,0.0,0.0,0.0
225,you have no right to keep us here,you have no right to be out here,0.25,0.15151515151515152,0.14285714285714285
226,what are you going to do to him,what are you going to do to him,0.0,0.0,0.0
227,you can tell me,you called me,0.5,0.3333333333333333,0.42857142857142855
228,when did this happen,when did this happen,0.0,0.0,0.0
229,he saw the girl in the car,he saw the girl in the car,0.0,0.0,0.0
230,where do we go from here,where do we go from here,0.0,0.0,0.0
231,you really look awful,you want the off,0.75,0.6190476190476191,0.5882352941176471
232,just forget about it,just about it,0.25,0.35,0.3157894736842105
233,i said a clean break,i said it be back,0.6,0.45,0.3888888888888889
234,it will be rough,it will be rough,0.0,0.0,0.0
235,call me whatever you want,i mean what happened you want,0.8,0.52,0.5
236,you left something out,you leave something out,0.25,0.13636363636363635,0.16666666666666666
237,have her bring the money here,i worry about here,0.8333333333333334,0.6551724137931034,0.625
238,but why do you want me,but why do you want me,0.0,0.0,0.0
239,not even a little bit,tell him a little bit,0.4,0.38095238095238093,0.2857142857142857
240,why do you have to go,why do you have to go,0.0,0.0,0.0
241,when i wanted to,we must do,1.0,0.625,0.625
242,why do i have to do this,why do i have to do this,0.0,0.0,0.0
243,let me come and talk to you,let me come and talk to you,0.0,0.0,0.0
244,no one will believe us,no one will believe us,0.0,0.0,0.0
245,they run but they never get too far,they run but they never get too far,0.0,0.0,0.0
246,you get used to it,you can you do it,0.6,0.4444444444444444,0.3333333333333333
247,do you think so,do you that,0.5,0.4,0.5
248,i was at home,i was at home,0.0,0.0,0.0
249,but that should make you like her,but that should make you like her,0.0,0.0,0.0
